Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C8",0805,3,100nF,C476766
"C10, C9",1206,2,220uF,C412252
"C2, C5, C7",0805,3,10uF,C15850
C4,0805,1,47uF,C16780
C6,0805,1,470nF,C16780
D1,D_SOD-323,1,D,C146335
"D2, D4",LED_D3.0mm,2,LED,C85161
D3,D_DO-201AD_P15.24mm_Horizontal,1,1N5822,C2476
J1,PinHeader_1x02_P2.00mm_Vertical,1,Conex_bat,C157932
J2,TerminalBlock_4Ucon_1x02_P3.50mm_Horizontal,1,Panel Solar,C695629
J3,TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,1,Galga_1,C192769
J4,TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,1,Galga_2,C192769
"L1, L2",L_APV_APH0630,2,33u,C5349704
P1,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C_Plug_USB2.0,C2927028
"R1, R2",0805,2,"1,2k",C114526
R13,0805,1,25.5k,C17414
R20,0603,1,"1,2K",C445629
R3,0805,1,1.5k,C114555
R4,Potentiometer_Bourns_3266Y_Vertical,1,2k,C48997938
R5,0805,1,1k,
R6,0603,1,2K,C22975
R7,1206,1,100m,C25334
R8,Potentiometer_Bourns_3266Y_Vertical,1,1k,C48997938
R9,0805,1,26.1k,C2933386
"RV1, RV2",Potentiometer_Bourns_3266Y_Vertical,2,100,C48997939
U1,SOT-23,1,REF3020AIDBZT,C2877902
U10,MODULE_NUCLEO-F429ZI_FEMALE,1,NUCLEO-F429ZI,
"U2, U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,3,INA826AIDR,C38433
U3,TSOT-23-6,1,TP4057,C725791
U6,TO-252-5_TabPin3,1,XL006,C73012
"U7, U8",SOT-23-5,2,TLV75733PDBV,C485517
