Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C95781,RC0805FR-071KL,YAGEO,0805,,1kΩ 125mW 150V Thick Film Resistor ±100ppm/℃ ±1% 0805 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0026,0.26,https://www.lcsc.com/product-detail/C95781.html
2,C485517,TLV75733PDBVR,TI,SOT-23-5,,"3.3V Positive Fixed SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",yes,5,5,5,0.1959,0.98,https://www.lcsc.com/product-detail/C485517.html
3,C73012,XL6008E1,XLSEMI,TO-252-5,,320kHz~480kHz Buck-Boost Adjustable 3A TO-252-5 Voltage Regulators - DC DC Switching Regulators RoHS,yes,5,1,1,0.6810,3.41,https://www.lcsc.com/product-detail/C73012.html
4,C725791,TP4057,UMW,SOT-23-6,,4V~6.5V Lithium Battery 1 500mA SOT-23-6 Battery Chargers ICs RoHS,yes,20,20,20,0.0385,0.77,https://www.lcsc.com/product-detail/C725791.html
5,C38433,INA826AIDR,TI,SOIC-8,,150uV Rail-to-Rail Output 35nA 1V/us 104dB 200uA 1MHz 1 SOIC-8 Amplifiers RoHS,yes,3,1,1,0.7566,2.27,https://www.lcsc.com/product-detail/C38433.html
6,C2877902,REF3020AIDBZT,TI,SOT-23-3,,Series Voltage Reference IC Fixed 2.048V ±0.2% 25mA SOT-23-3,yes,1,1,1,0.5553,0.56,https://www.lcsc.com/product-detail/C2877902.html
7,C48997939,3296W-1-101,JIERR,"Through Hole-3P,9.5x4.9mm",,"±10% ±250ppm/℃ 500mW 100Ω Through Hole-3P,9.5x4.9mm Slide Potentiometers RoHS",yes,5,5,5,0.2336,1.17,https://www.lcsc.com/product-detail/C48997939.html
8,C2933386,FRC0805F2612TS,FOJAN,0805,,26.1kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0019,0.19,https://www.lcsc.com/product-detail/C2933386.html
9,C25334,1206W4F100LT5E,UNI-ROYAL,1206,,100mΩ ±1% 250mW 1206 Thick Film Resistor,yes,50,50,50,0.0071,0.36,https://www.lcsc.com/product-detail/C25334.html
10,C22975,0603WAF2001T5E,UNI-ROYAL,0603,,2kΩ ±1% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0014,0.14,https://www.lcsc.com/product-detail/C22975.html
11,C695629,DB301V-3.5-2P-GN-S,DORABO,"Through Hole,P=3.5mm",,2 Position Wire to Board Terminal Block Through Hole 3.5mm,yes,5,5,5,0.0837,0.42,https://www.lcsc.com/product-detail/C695629.html
12,C48997938,3296W-1-102,JIERR,"Through Hole-3P,9.5x4.9mm",,"±10% ±250ppm/℃ 500mW 1kΩ Through Hole-3P,9.5x4.9mm Slide Potentiometers RoHS",yes,5,5,5,0.2071,1.04,https://www.lcsc.com/product-detail/C48997938.html
13,C114555,RC0805FR-071K5L,YAGEO,0805,,125mW 1.5kΩ 150V Thick Film Resistor ±100ppm/℃ ±1% 0805 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0027,0.27,https://www.lcsc.com/product-detail/C114555.html
14,C445629,ERA3AEB122V,PANASONIC,0603,,100mW 1.2kΩ Thin Film Resistor ±25ppm/℃ ±0.1% 0603 Chip Resistor - Surface Mount RoHS,yes,5,5,5,0.0953,0.48,https://www.lcsc.com/product-detail/C445629.html
15,C17414,0805W8F1002T5E,UNI-ROYAL,0805,,10kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0025,0.25,https://www.lcsc.com/product-detail/C17414.html
16,C114526,RC0805FR-071K2L,YAGEO,0805,,125mW 1.2kΩ 150V Thick Film Resistor ±100ppm/℃ ±1% 0805 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0026,0.26,https://www.lcsc.com/product-detail/C114526.html
17,C2927028,USB-TYPE-C-008,DEALON,SMD,,"USB-C (USB TYPE-C) Receptacle Connector 6 Position Surface Mount, Right Angle",yes,10,10,10,0.0462,0.46,https://www.lcsc.com/product-detail/C2927028.html
18,C5349704,APH0630T330M,APV,"SMD,7x6.6mm",,"2A 33uH 270mΩ 2.5A Molded Inductor ±20% SMD,7x6.6mm Fixed Inductors RoHS",yes,5,5,5,0.0817,0.41,https://www.lcsc.com/product-detail/C5349704.html
19,C192769,WJ128V-5.0-04P-14-00A,KANGNEX,"Through Hole,P=5mm",,4 Position Wire to Board Terminal Block Through Hole 5mm,yes,5,5,5,0.2962,1.48,https://www.lcsc.com/product-detail/C192769.html
