Designator,Mid X,Mid Y,Rotation,Layer
C1,119.3,-77.1,270.0,top
C10,105.2,-73.525,90.0,top
C2,110.31,-104.95,90.0,top
C3,99.35,-104.95,90.0,top
C4,104.26,-60.45,270.0,top
C5,129.3425,-106.075,270.0,top
C6,95.7,-93.225,90.0,top
C7,118.2,-87.875,270.0,top
C8,114.0025,-104.95,90.0,top
C9,120.4,-57.6663,90.0,top
D1,112.275,-77.725,270.0,top
D2,128.3,-92.3,180.0,top
D3,112.75,-67.3,180.0,top
D4,116.85,-92.3,0.0,top
J1,139.825,-87.375,180.0,top
J2,102.475,-51.2825,180.0,top
J3,126.6,-123.6175,0.0,top
J4,104.55,-123.585,0.0,top
L1,97.475,-64.55,270.0,top
L2,97.475,-75.15,90.0,top
P1,90.88,-49.5,180.0,top
R1,120.625,-92.55,90.0,top
R13,100.275,-87.125,270.0,top
R2,127.875,-87.875,90.0,top
R20,119.3,-81.65,90.0,top
R3,127.2059,-67.19,90.0,top
R4,128.075,-59.55,270.0,top
R5,127.2059,-72.625,270.0,top
R6,123.825,-92.55,270.0,top
R7,115.875,-81.65,90.0,top
R8,106.21,-83.675,90.0,top
R9,112.3,-81.65,270.0,top
RV1,120.325,-115.285,0.0,top
RV2,105.6725,-115.285,0.0,top
U1,95.7,-99.05,180.0,top
U10,111.835,-93.137,180.0,top
U2,104.8975,-108.325,0.0,top
U3,122.7125,-87.875,90.0,top
U4,125.375,-81.575,270.0,top
U5,119.55,-108.325,0.0,top
U6,113.71,-53.835,90.0,top
U7,105.8,-93.35,90.0,top
U8,129.255,-100.825,90.0,top
